"CAUnum96"	"CAUname96"	"NZDepCAU96 wt ave score"	"NZDepCAU96 wt ave scale"	"CAU urpop96"
539400	"Mangakakahi"	1073	9	2492.00
539500	"Sunnybrook"	941	3	1958.00
539600	"Fordlands"	1326	10	2084.00
539700	"Utuhina"	993	6	1369.00
539800	"Pomare"	927	2	1420.00
539900	"Hillcrest"	1044	8	1711.00
540000	"Springfield"	907	1	4253.00
540100	"Kawaha Point"	962	5	1473.00
540200	"Koutu"	1123	10	2091.00
540300	"Ohinemutu"	1131	10	277.00
540410	"Kuirau"	1144	10	1216.00
540420	"Victoria"	1167	10	1972.00
540510	"Glenholme East"	958	4	2022.00
540520	"Glenholme West"	1121	10	2270.00
540600	"Fenton"	1075	9	1361.00
540700	"Whaka"	1249	10	258.00
540900	"Mangakino"	1299	10	1500.00
541000	"Turangi"	1128	10	3745.00
541311	"Acacia Bay"	905	1	933.00
541312	"Wairakei-Aratiatia"	1148	10	665.00
541313	"Maunganamu"	993	6	46.00
541314	"Rangatira"	924	2	805.00
541315	"Taupo East"	1080	9	179.00
541316	"Wharewaka"	940	3	237.00
541320	"Marotiri"	974	5	1307.00
541331	"Oruanui"	966	5	1789.00
541342	"Rangitaiki"	1070	9	200.00
541343	"Iwitahi"	1033	8	2073.00
541501	"Rangipo"	1092	9	334.00
541502	"Te More"	0	0	0.00
541503	"Taharua"	1045	8	53.00
541710	"Nukuhau"	996	6	1232.00
541720	"Central Taupo"	1047	8	3718.00
541730	"Tauhara"	1057	9	4103.00
541740	"Hilltop"	955	4	3244.00
541750	"Waipahihi"	929	2	1728.00
541760	"Richmond Heights"	967	5	2260.00
541900	"Ohope"	940	3	2696.00
542000	"Matata"	1092	9	617.00
542100	"Taneatua Community"	1261	10	878.00
542200	"Edgecumbe Community"	1037	8	1763.00
542300	"Te Teko"	1191	10	631.00
542410	"Whakatane North"	1040	8	3144.00
542421	"Coastlands"	950	4	546.00
542422	"Whakatane West"	1064	9	3071.00
542430	"Trident"	1090	9	3052.00
542440	"Allandale-Mokorua"	997	6	3701.00
542511	"Orini"	1188	10	572.00
542513	"Port Ohope"	0	0	0.00
542514	"Maraetotara"	978	5	70.00
542520	"Poroporo"	1055	9	644.00
542530	"Otakiri"	965	5	3501.00
542540	"Rotoma"	1054	8	1716.00
542550	"Matahina-Minginui"	1106	10	1754.00
542561	"Waimana"	1170	10	661.00
542562	"Urewera"	1144	10	1902.00
542600	"Kawerau"	1116	10	7829.00
542700	"Murupara"	1242	10	2206.00
542800	"Opotiki"	1195	10	4153.00
542901	"Te Kaha"	1282	10	363.00
542903	"Cape Runaway"	1225	10	1521.00
542904	"Oponae"	1150	10	383.00
542905	"Ohiwa Harbour"	0	0	0.00
542906	"Waiotahi"	1043	8	2955.00
543301	"East Cape"	1190	10	3098.00
543302	"Ruatoria"	1228	10	857.00
543303	"Tokomaru Bay"	1217	10	475.00
543601	"Tarndale-Rakauroa"	1025	8	1891.00
543602	"Te Karaka"	1132	10	600.00
543800	"Patutahi"	1028	8	351.00
543901	"Makaraka"	937	3	894.00
543902	"Matokitoki"	908	1	362.00
543903	"Wainui"	914	2	1377.00
544001	"Wharekaka"	987	6	2028.00
544002	"Tiniroto"	979	5	2237.00
544003	"Manutuke"	1042	8	738.00
544004	"Tolaga Bay"	1183	10	897.00
544200	"Mangapapa"	1045	8	4300.00
544300	"Te Hapara"	1062	9	4397.00
544400	"Gisborne Airport"	1160	10	2851.00
544500	"Whataupoko"	938	3	3647.00
544600	"Gisborne Central"	1058	9	3380.00
544700	"Kaiti North"	1093	9	4790.00
544801	"Kaiti South"	1170	10	2998.00
544802	"Tamarau"	1120	10	2428.00
544900	"Riverdale"	980	6	1184.00
545201	"Tuai"	1069	9	265.00
545202	"Frasertown"	1064	9	334.00
545203	"Maungataniwha"	1054	9	449.00
545204	"Ruakituri-Morere"	1029	8	813.00
545301	"Raupunga"	1108	10	839.00
545302	"Whakaki"	1081	9	942.00
545303	"Nuhaka"	1146	10	326.00
545304	"Mahia"	1144	10	924.00
545500	"Wairoa"	1097	9	5008.00
545611	"Bay View"	985	6	1713.00
545621	"Poraiti"	911	1	616.00
545631	"Meeanee"	932	3	1104.00
545632	"Awatoto"	956	4	301.00
545710	"Twyford"	945	4	1069.00
545721	"Karamu"	976	5	923.00
545722	"Whakatu"	997	6	843.00
545730	"Clive"	975	5	1375.00
545740	"Haumoana"	970	5	2122.00
545750	"Brookvale"	911	1	547.00
545761	"Irongate"	927	2	465.00
545762	"Longlands South"	935	3	825.00
545811	"Tangoio"	962	5	542.00
545812	"Eskdale"	921	2	572.00
545821	"Sherenden-Puketapu"	940	3	1924.00
545822	"Omahu"	1086	9	430.00
545831	"Waiohiki"	951	4	264.00
545832	"Pakowhai"	1021	7	601.00
545841	"Maraekakaho"	966	5	957.00
545842	"Bridge Pa"	987	6	1016.00
545851	"Poukawa"	971	5	1390.00
545852	"Pakipaki"	968	5	744.00
545860	"Waimarama"	977	5	813.00
545911	"Tutira"	1022	7	720.00
545912	"Puketitiri"	963	5	324.00
545913	"Whanawhana"	937	3	279.00
546100	"Westshore"	989	6	1144.00
546200	"Ahuriri"	1077	9	721.00
546300	"Onekawa Central"	989	6	1262.00
546400	"Onekawa West"	1026	8	64.00
546500	"Onekawa South"	1090	9	4164.00
546600	"Marewa"	1094	9	4543.00
546700	"Maraenui"	1206	10	3568.00
546801	"Hospital Hill"	968	5	2905.00
546802	"Bluff Hill"	988	6	2864.00
546901	"Nelson Park"	1062	9	2459.00
546902	"Mclean Park"	1040	8	2409.00
547001	"Tamatea North"	1025	8	2664.00
547002	"Tamatea South"	997	6	2841.00
547100	"Greenmeadows"	955	4	5181.00
547200	"Taradale North"	940	3	4857.00
547300	"Taradale South"	969	5	4727.00
547400	"Pirimai"	976	5	3355.00
547600	"Mahora"	1033	8	3501.00
547700	"St Leonards"	1023	7	2783.00
547800	"Frimley"	949	4	1459.00
547900	"Raureka"	1060	9	3890.00
548000	"Mayfair"	1057	9	3961.00
548100	"Parkvale"	1003	6	2989.00
548200	"Hastings Central"	1057	9	2970.00
548300	"Akina"	1065	9	4168.00
548400	"Woolwich"	968	5	44.00
548500	"Camberley"	1231	10	2090.00
548611	"Kingsley-Chatham"	1184	10	3154.00
548612	"Lochain"	1115	10	2835.00
548620	"Flaxmere East"	1120	10	3977.00
548810	"Anderson Park"	1072	9	1520.00
548820	"Iona"	923	2	2917.00
548830	"Te Mata"	904	1	5277.00
549000	"Takapau"	1039	8	580.00
549100	"Waipawa"	1035	8	1915.00
549200	"Tikokino"	965	5	2636.00
549400	"Otane"	1071	9	514.00
549500	"Waipukurau"	1017	7	4001.00
549601	"Porangahau"	1039	8	265.00
549602	"Elsthorpe-Flemington"	954	4	3126.00
549800	"Norsewood-Herbertville"	955	4	3733.00
549901	"Owahanga"	974	5	654.00
549902	"Rara"	960	4	13.00
550101	"Dannevirke West"	1018	7	2276.00
550102	"Dannevirke East"	1062	9	3237.00
550200	"Papatawa"	961	4	1226.00
550500	"Woodville"	1077	9	1567.00
550600	"Urenui"	1007	7	413.00
550700	"Okoki-Okau"	976	5	1911.00
550800	"Oakura"	930	2	1234.00
550901	"Bell Block"	990	6	3917.00
550902	"Paraite"	954	4	288.00
551012	"Glen Avon"	966	5	863.00
551013	"Bowden"	940	3	319.00
551014	"Mangaoraka"	949	4	644.00
551021	"Carrington"	901	1	575.00
551022	"Highlands Park"	905	1	2506.00
551023	"Fernleigh"	882	1	569.00
551024	"Barrett"	896	1	1206.00
551030	"Omata"	920	2	441.00
551111	"Lepperton"	929	2	1665.00
551112	"Kaitake"	941	3	2012.00
551120	"Okato"	1059	9	497.00
551301	"Waitara West"	1118	10	3714.00
551302	"Waitara East"	1070	9	2795.00
551400	"Moturoa"	1061	9	3820.00
551501	"Lynmouth"	1001	6	2175.00
551502	"Spotswood"	979	5	1808.00
551503	"Marfell"	1130	10	2083.00
551600	"Upper Westown"	935	3	1456.00
551700	"Westown"	993	6	3429.00
551800	"New Plymouth Central"	1065	9	664.00
551900	"Kawaroa"	1044	8	1948.00
552001	"Mount Bryan"	983	6	956.00
552002	"Marsland Hill"	1018	7	1462.00
552100	"Fitzroy"	986	6	3683.00
552200	"Welbourn"	989	6	1760.00
552300	"Merrilands"	973	5	2793.00
552400	"Frankleigh"	1008	7	3567.00
552500	"Struan Park"	988	6	4705.00
552701	"Egmont Village"	924	2	494.00
552702	"Kaimata"	931	3	2547.00
552800	"Inglewood"	1010	7	3192.00
552900	"Midhirst"	1008	7	273.00
553001	"Whangamomona"	1012	7	207.00
553002	"Douglas"	946	4	877.00
553003	"Toko"	954	4	1224.00
553004	"Pembroke"	940	3	1299.00
553101	"Stratford West"	1032	8	3323.00
553102	"Stratford East"	1034	8	2341.00
553200	"Opunake"	1110	10	1597.00
553301	"Rahotu"	983	6	312.00
553302	"Kahui"	963	5	2999.00
553400	"Kaponga"	1094	9	392.00
553500	"Mangatoki-Moeroa"	943	3	1898.00
553601	"Eltham"	1007	7	2004.00
553700	"Kapuni"	945	3	1561.00
553800	"Manaia"	1111	10	1091.00
553900	"Normanby"	1026	8	935.00
554010	"Hawera North"	1008	7	4055.00
554020	"Hawera South"	1018	7	4159.00
554111	"Ohawe Beach"	964	5	660.00
554113	"Tawhiti"	933	3	610.00
554114	"Waingongoro"	953	4	416.00
554115	"Hawera West"	891	1	602.00
554120	"Ohangai"	980	6	642.00
554130	"Okaiawa"	971	5	640.00
554300	"Waitotara"	1044	8	104.00
554400	"Whenuakura"	962	5	1150.00
554500	"Makakaho"	956	4	948.00
554700	"Patea"	1193	10	1400.00
554800	"Waverley"	1097	9	960.00
554900	"Tangiwai"	1019	7	1413.00
555000	"Ohakune"	1036	8	1388.00
555100	"Raetihi"	1131	10	1166.00
555200	"Otamatea"	904	1	976.00
555300	"Blueskin"	928	2	1321.00
555400	"Maxwell"	945	3	1417.00
555700	"Castlecliff North"	1126	10	2452.00
555800	"Castlecliff South"	1124	10	1493.00
555900	"Mosston"	1161	10	1271.00
556000	"Balgownie"	1377	10	343.00
556100	"Tawhero"	999	6	1774.00
556200	"Gonville South"	1021	7	3240.00
556300	"Gonville East"	1062	9	1271.00
556400	"Gonville West"	1243	10	1762.00
556500	"Springvale West"	960	4	1394.00
556600	"Springvale East"	932	3	1847.00
556700	"Wanganui Collegiate"	1016	7	1137.00
556800	"Laird Park"	1138	10	2349.00
556900	"Wanganui Central"	1110	10	1611.00
557000	"Spriggens Park"	1077	9	434.00
557100	"Cooks Gardens"	1098	9	456.00
557200	"St Johns Hill"	925	2	2258.00
557300	"Lower Aramoho"	1108	10	1976.00
557400	"Upper Aramoho"	1038	8	2302.00
557500	"Williams Domain"	1042	8	2079.00
557600	"Wembley Park"	1128	10	1815.00
557700	"Kowhai Park"	1036	8	2394.00
557800	"Bastia Hill"	897	1	727.00
557900	"Durie Hill"	961	4	1508.00
558100	"Putiki"	993	6	357.00
558200	"Marybank-Gordon Park"	916	2	550.00
558300	"Fordell-Kakatahi"	983	6	2528.00
558500	"Waiouru"	970	5	2480.00
558600	"Mangaweka"	1079	9	209.00
558700	"Hunterville"	1019	7	453.00
558800	"Ratana Community"	1186	10	441.00
558900	"Bulls"	980	6	1865.00
559000	"Ngamatea"	925	2	34.00
559210	"Moawhango"	948	4	729.00
559220	"Pohonui-Porewa"	951	4	2372.00
559230	"Lake Alice"	965	5	2803.00
559240	"Koitiata"	1026	8	110.00
559400	"Taihape"	1053	8	2005.00
559500	"Marton"	1045	8	5335.00
559700	"Kiwitea"	961	5	1528.00
560000	"Pohangina"	944	3	1076.00
560200	"Ashhurst"	980	6	2550.00
560301	"Stoney Creek"	958	4	590.00
560302	"Whakarongo"	915	2	796.00
560411	"Oroua Bridge"	974	5	157.00
560412	"Maewa"	917	2	447.00
560421	"Halcombe"	984	6	413.00
560422	"Tokorangi-Hiwinui"	934	3	2046.00
560710	"Feilding North"	1031	8	3842.00
560720	"Feilding West"	973	5	3537.00
560730	"Feilding Central"	1034	8	2803.00
560740	"Feilding East"	981	6	2948.00
560900	"Sanson"	1038	8	519.00
561000	"Rongotea"	966	5	637.00
561100	"Tangimoana"	1114	10	275.00
561200	"Himatangi Beach"	1097	9	513.00
561300	"Foxton Beach"	1116	10	1889.00
561410	"Rakiraki"	940	3	307.00
561421	"Ohakea"	904	1	357.00
561422	"Oroua Downs-Waitohi"	950	4	3168.00
561500	"Moutoa"	995	6	805.00
561700	"Foxton"	1118	10	2872.00
561811	"Kairanga"	935	3	668.00
561812	"Longburn"	960	4	587.00
561813	"Massey University"	952	4	1032.00
561820	"Linton Military Camp"	957	4	1792.00
561901	"Kauwhata"	924	2	1660.00
561902	"Turitea"	921	2	1080.00
562100	"Milson"	960	4	5065.00
562200	"Kelvin Grove"	974	5	2974.00
562310	"Takaro"	1010	7	5364.00
562320	"Cloverlea"	973	5	2127.00
562401	"Palmerston North Hospital"	952	4	2860.00
562402	"Papaeoia"	1012	7	2840.00
562500	"Roslyn"	1070	9	5528.00
562600	"Terrace End"	975	5	3038.00
562710	"Highbury"	1117	10	3362.00
562720	"Westbrook"	1017	7	4208.00
562800	"Palmerston North Central"	1061	9	2954.00
562910	"Awapuni North"	1071	9	3505.00
562921	"Awapuni West"	927	2	1388.00
562922	"Awapuni South"	921	2	3369.00
563000	"West End"	1005	7	4731.00
563101	"Hokowhitu West"	956	4	4298.00
563102	"Hokowhitu Lagoon"	899	1	1556.00
563200	"Hokowhitu East"	952	4	4895.00
563300	"Aokautere"	901	1	1783.00
563500	"Shannon"	1149	10	1446.00
563600	"Waitarere"	1086	9	636.00
563701	"Waikanae Beach"	991	6	2008.00
563702	"Waikanae Central"	941	3	4982.00
563703	"Waikanae East"	946	4	1663.00
563801	"Tokomaru"	984	6	591.00
563802	"Opiki"	936	3	512.00
563920	"Kaitawa"	889	1	282.00
564011	"Lake Horowhenua"	1026	8	828.00
564012	"Waiopehu"	1010	7	1601.00
564013	"Kohitere"	960	4	610.00
564021	"Mangaore-Manakau"	970	5	2706.00
564022	"Otaki Forks"	932	3	1359.00
564023	"Te Horo"	981	6	613.00
564210	"Levin North"	1008	7	3356.00
564220	"Levin West"	1072	9	2683.00
564231	"Playford Park"	1076	9	3271.00
564232	"Levin South"	1142	10	2040.00
564240	"Levin East"	999	6	4302.00
564400	"Otaki"	1061	9	5580.00
564510	"Heretaunga Park"	897	1	1252.00
564520	"Trentham South"	991	6	911.00
564530	"Pinehaven"	907	1	3189.00
564600	"Nabhra"	860	1	188.00
564800	"Glendale"	1040	8	3838.00
564900	"Parkway"	985	6	3029.00
565000	"Fernlea"	991	6	2046.00
565100	"Arakura"	1009	7	2714.00
565200	"Homedale West"	1019	7	2512.00
565300	"Homedale East"	987	6	3095.00
565400	"Pencarrow"	916	2	491.00
565601	"Pauatahanui"	892	1	673.00
565602	"Endeavour"	858	1	1995.00
565603	"Resolution"	856	1	346.00
565604	"Adventure"	921	2	1286.00
565700	"Paekakariki Hill"	885	1	134.00
565901	"Paraparaumu Beach North"	971	5	2932.00
565902	"Otaihanga"	938	3	765.00
565903	"Paraparaumu Beach South"	959	4	3456.00
566000	"Paraparaumu Central"	1015	7	5871.00
566101	"Raumati Beach"	945	3	3837.00
566102	"Raumati South"	963	5	3104.00
566200	"Paekakariki"	987	6	1671.00
566301	"Kapiti Island"	0	0	13.00
566302	"Maungakotukutuku"	945	3	448.00
566500	"Te Marua"	948	4	977.00
566610	"Akatarawa"	971	5	647.00
566620	"Emerald Hill"	953	4	2297.00
566700	"Maoribank"	1035	8	2498.00
566800	"Clouston Park"	976	5	2331.00
566900	"Totara Park"	931	3	3034.00
567000	"Ebdentown"	1014	7	2283.00
567100	"Upper Hutt Central"	1115	10	312.00
567200	"Maidstone"	1113	10	155.00
567300	"Wallaceville"	1011	7	2121.00
567400	"Elderslea"	989	6	3191.00
567500	"Moonshine"	947	4	2257.00
567600	"Brentwood"	1039	8	2099.00
567700	"Trentham North"	1016	7	2521.00
567800	"Heretaunga-Silverstream"	929	2	3117.00
567901	"Cloustonville"	917	2	287.00
567902	"Mangaroa"	896	1	1049.00
568101	"Tawhai"	944	3	3205.00
568102	"Holburn"	992	6	2059.00
568103	"Delaney"	1087	9	2316.00
568104	"Manuka"	924	2	1677.00
568201	"Taita North"	1160	10	2663.00
568202	"Taita South"	1116	10	2809.00
568301	"Naenae West"	1080	9	2198.00
568302	"Naenae North"	1129	10	4463.00
568303	"Naenae South"	1101	9	3465.00
568400	"Boulcott-Avalon"	953	4	4668.00
568501	"Epuni West"	997	6	3053.00
568502	"Epuni East"	1039	8	3020.00
568600	"Waterloo"	953	4	5058.00
568701	"Waiwhetu North"	1075	9	1378.00
568702	"Waiwhetu South"	1040	8	2208.00
568800	"Gracefield"	1117	10	57.00
568900	"Moera"	1131	10	1620.00
569001	"Woburn North"	897	1	1301.00
569002	"Woburn South"	990	6	451.00
569100	"Hutt Central"	904	1	3616.00
569201	"Melling"	961	4	536.00
569202	"Alicetown"	968	5	1924.00
569301	"Normandale"	877	1	2081.00
569302	"Maungaraki"	897	1	3473.00
569400	"Belmont"	882	1	3175.00
569500	"Kelson"	905	1	2651.00
569600	"Haywards-Manor Park"	943	3	255.00
569800	"Korokoro"	899	1	1267.00
569900	"Petone Central"	1014	7	895.00
570000	"Esplanade"	1044	8	2445.00
570100	"Wilford"	1011	7	3391.00
570300	"Eastbourne"	892	1	4769.00
570400	"Titahi Bay North"	1052	8	2328.00
570500	"Onepoto"	1016	7	1906.00
570600	"Titahi Bay South"	1128	10	3285.00
570700	"Elsdon-Takapuwahia"	1111	10	2376.00
570800	"Porirua Central"	1254	10	348.00
570900	"Porirua East"	1144	10	2028.00
571000	"Ranui Heights"	968	5	1209.00
571100	"Cannons Creek North"	1263	10	3100.00
571200	"Cannons Creek South"	1197	10	1590.00
571300	"Cannons Creek East"	1243	10	4063.00
571400	"Waitangirua"	1261	10	4130.00
571500	"Papakowhai"	882	1	2128.00
571600	"Ascot Park"	1070	9	2703.00
571800	"Pukerua Bay"	916	2	1665.00
571900	"Plimmerton"	910	1	2054.00
572000	"Mana-Camborne"	901	1	2162.00
572100	"Paremata-Postgate"	900	1	2418.00
572200	"Discovery"	885	1	2650.00
572300	"Mana Island"	0	0	0.00
572500	"Tawa South"	891	1	3546.00
572600	"Central Tawa"	939	3	4082.00
572701	"Linden"	972	5	3606.00
572702	"Greenacres"	896	1	1138.00
572900	"Thorndon-Tinakori Road"	926	2	2789.00
573000	"Lambton"	1014	7	2987.00
573100	"Willis Street-Cambridge Terrac"	1000	6	1454.00
573200	"Aro Street-Nairn Street"	1061	9	3386.00
573300	"Mt Cook-Wallace Street"	1077	9	3076.00
573400	"Mt Victoria West"	974	5	4629.00
573511	"Churton Park"	951	4	144.00
573512	"Churton"	881	1	3759.00
573521	"Grenada"	878	1	224.00
573522	"Grenada North"	1013	7	303.00
573523	"Paparangi"	891	1	967.00
573524	"Newlands East"	910	1	317.00
573600	"Johnsonville North"	916	2	1799.00
573700	"Johnsonville South"	975	5	2663.00
573800	"Johnsonville East"	916	2	1822.00
573900	"Newlands North"	944	3	4482.00
574001	"Newlands South"	941	3	3326.00
574002	"Ngauranga East"	927	2	32.00
574100	"Raroa"	936	3	2556.00
574200	"Khandallah Park"	874	1	2405.00
574302	"Te Kainga"	885	1	3415.00
574303	"Ngauranga West"	0	0	0.00
574304	"Rangoon Heights"	900	1	2028.00
574401	"Awarua"	876	1	3152.00
574402	"Ngaio"	899	1	2835.00
574500	"Kaiwharawhara"	914	2	12.00
574600	"Wadestown"	877	1	3085.00
574700	"Wilton-Otari"	908	1	4080.00
574800	"Johnston Hill"	889	1	2282.00
574900	"Karori Park"	952	4	4059.00
575000	"Karori East"	887	1	3393.00
575100	"Wright Hill"	913	2	3717.00
575200	"Northland"	914	2	2397.00
575300	"Kelburn"	926	2	3497.00
575400	"Taitville"	927	2	408.00
575500	"Mitchelltown"	958	4	554.00
575600	"Brooklyn"	920	2	3363.00
575700	"Vogeltown"	926	2	1757.00
575800	"Kingston"	941	3	2168.00
575901	"Brooklyn South"	912	2	844.00
575902	"Happy Valley-Owhiro Bay"	961	5	1225.00
576001	"Island Bay West"	946	4	3151.00
576002	"Island Bay East"	942	3	3440.00
576100	"Melrose"	954	4	3101.00
576200	"Berhampore"	1078	9	2234.00
576300	"Newtown West"	1077	9	3597.00
576400	"Newtown East"	1110	10	4464.00
576500	"Adelaide"	1002	6	790.00
576600	"Oriental Bay"	926	2	1080.00
576700	"Roseneath"	905	1	1547.00
576800	"Hataitai"	914	2	3967.00
576901	"Kilbirnie East"	1041	8	2911.00
576902	"Kilbirnie West"	968	5	3078.00
577000	"Lyall Bay"	995	6	2849.00
577100	"Strathmore Park"	1039	8	4128.00
577200	"Miramar South"	971	5	3049.00
577300	"Miramar North"	967	5	4611.00
577400	"Karaka Bay-Worser Bay"	887	1	1216.00
577500	"Seatoun"	898	1	1980.00
577600	"Maupuia"	999	6	2030.00
577700	"Makara-Ohariu"	920	2	660.00
577900	"Mangatainoka"	954	4	1748.00
578000	"Pahiatua"	1012	7	2720.00
578100	"Eketahuna"	1088	9	642.00
578200	"Nireaha-Tiraumea"	937	3	1252.00
578301	"Homebush-Te Ore Ore"	936	3	555.00
578302	"Opaki"	902	1	1065.00
578401	"Kopuaranga"	935	3	1328.00
578402	"Whareama"	959	4	1740.00
578600	"Masterton Central"	1103	9	734.00
578700	"Masterton West"	1010	7	3150.00
578800	"Masterton East"	1144	10	3503.00
578901	"Solway North"	1013	7	2266.00
578902	"Solway South"	1018	7	2900.00
579000	"Ngaumutawa"	1004	7	1338.00
579100	"Masterton Railway"	1133	10	294.00
579200	"Lansdowne"	987	6	3883.00
579400	"Waingawa"	926	2	240.00
579501	"Mt Holdsworth"	946	4	1023.00
579502	"Te Wharau"	932	3	1381.00
579700	"Carterton"	1032	8	4168.00
579801	"Kahutara"	952	4	2644.00
579802	"Tuturumuri"	974	5	474.00
579900	"Greytown"	983	6	1943.00
580000	"Featherston"	1064	9	2420.00
580100	"Martinborough"	1047	8	1457.00
580200	"Havelock"	996	6	503.00
580300	"Renwick"	940	3	1722.00
580410	"Woodbourne"	901	1	901.00
580420	"Omaka"	903	1	1218.00
580430	"Spring Creek-Riverlands"	959	4	1372.00
580442	"Waikawa"	967	5	843.00
580444	"Wairau"	933	3	3538.00
580445	"Marlborough Sounds Coastal Mar"	984	6	86.00
580446	"Marlborough Sounds Terrestrial"	963	5	3206.00
580600	"Severn"	945	3	5.00
580801	"Ward"	962	5	895.00
580802	"Seddon"	1007	7	548.00
580900	"Lake Tennyson"	945	3	2.00
581100	"Picton"	1029	8	3061.00
581210	"Springlands"	958	4	3105.00
581220	"Mayfield"	1070	9	2568.00
581230	"Blenheim Central"	1026	8	2563.00
581240	"Whitney"	990	6	3926.00
581250	"Redwoodtown"	983	6	4651.00
581260	"Witherlea"	934	3	3686.00
581400	"Kaikoura"	1003	7	2207.00
581500	"Clarence"	985	6	1309.00
581601	"Golden Bay"	1013	7	3473.00
581602	"Takaka"	991	6	1224.00
581713	"Glenduan"	931	3	367.00
581715	"Ngawhatu"	942	3	636.00
581717	"Aniseed Hill"	885	1	358.00
581720	"Hope"	923	2	1060.00
581721	"Saxton Island"	0	0	0.00
581722	"Waimea Inlet East"	0	0	0.00
581723	"Saxton"	898	1	990.00
581724	"Bests Island"	958	4	117.00
581725	"Bells Island"	0	0	0.00
581726	"Ranzau"	914	2	677.00
581811	"Richmond Hill"	991	6	77.00
581812	"Whangamoa"	956	4	557.00
581822	"Brightwater"	929	2	1241.00
581823	"Wakefield"	933	3	1419.00
581825	"Mapua"	960	4	1270.00
581831	"Inlet-Motueka"	0	0	0.00
581832	"Kaiteriteri"	995	6	608.00
581833	"Motueka Outer"	1015	7	3544.00
581834	"Rabbit Island"	1011	7	7.00
581835	"Waimea Inlet West"	983	6	12.00
581836	"Wai-Iti"	951	4	4206.00
581841	"Golden Downs"	992	6	738.00
581842	"Lake Rotoroa"	995	6	582.00
581843	"Murchison"	992	6	584.00
581844	"Tapawera"	1049	8	409.00
581850	"Riwaka"	1001	6	858.00
582000	"Clifton"	898	1	1094.00
582100	"Atawhai"	937	3	1954.00
582200	"Port Nelson"	1043	8	43.00
582300	"The Wood"	1025	8	2667.00
582400	"Britannia Heights"	999	6	4181.00
582500	"Trafalgar"	1044	8	417.00
582600	"Maitai"	1002	6	661.00
582700	"Kirks"	1012	7	915.00
582800	"Bronte"	956	4	1878.00
582900	"Atmore"	977	5	1313.00
583000	"Tahunanui"	1042	8	2006.00
583100	"Tahuna Hills"	912	2	2058.00
583201	"Toi Toi"	1080	9	1590.00
583202	"Broads"	1045	8	1509.00
583300	"Grampians"	1032	8	1882.00
583400	"The Brook"	1011	7	1170.00
583500	"Nelson Airport"	1012	7	1000.00
583600	"Nayland"	981	6	461.00
583700	"Enner Glynn"	946	4	2716.00
583800	"Maitlands"	948	4	2247.00
583900	"Isel Park"	1036	8	2805.00
584000	"Langbein"	960	4	3029.00
584201	"Richmond North"	953	4	4108.00
584202	"Richmond South"	929	2	4783.00
584301	"Motueka West"	1035	8	3316.00
584303	"Motueka East"	1019	7	3279.00
584304	"Moutere Inlet"	0	0	0.00
584305	"Jackett Island"	1026	8	16.00
584402	"Karamea"	1023	7	452.00
584403	"Hector-Ngakawau"	1176	10	357.00
584404	"Granity"	1214	10	314.00
584405	"Orowaiti"	969	5	768.00
584406	"Buller"	1056	9	2298.00
584500	"Westport"	1052	8	4238.00
584600	"Reefton"	1020	7	1046.00
584700	"Inangahua"	1008	7	1040.00
584800	"Karoro"	905	1	880.00
584911	"Kaiata"	996	6	360.00
584912	"South Beach-Camerons"	926	2	923.00
584922	"Blackball"	1143	10	397.00
584923	"Point Elizabeth"	986	6	68.00
584924	"Moana"	983	6	2298.00
584930	"Dobson"	1013	7	746.00
585000	"Runanga-Rapahoe"	1063	9	1394.00
585110	"Cobden"	1111	10	1838.00
585120	"Blaketown"	1025	8	1030.00
585130	"Greymouth Central"	1077	9	737.00
585140	"Greymouth South"	972	5	3029.00
585304	"Haast"	1012	7	361.00
585305	"Otira"	1013	7	920.00
585306	"Kumara"	1132	10	316.00
585307	"Kaniere"	946	4	410.00
585308	"Kowhitirangi"	947	4	1066.00
585309	"Ross"	1010	7	376.00
585310	"Whataroa"	947	4	568.00
585311	"Harihari"	983	6	390.00
585312	"Franz Josef"	951	4	264.00
585313	"Fox Glacier"	945	3	248.00
585400	"Hokitika"	1011	7	3361.00
585502	"Hanmer Springs"	1008	7	576.00
585503	"Amuri"	943	3	1600.00
585504	"Culverden"	1017	7	397.00
585601	"Parnassus"	953	4	966.00
585602	"Cheviot"	1012	7	443.00
585700	"Hurunui"	972	5	2509.00
585802	"Amberley"	1004	7	944.00
585803	"Leithfield"	969	5	1966.00
585805	"Sefton"	946	4	489.00
585806	"Okuku"	941	3	343.00
585807	"Loburn"	911	1	1028.00
585808	"Ashley"	928	2	697.00
586001	"Camside"	940	3	204.00
586002	"Pines-Kairaki Beach"	1031	8	647.00
586112	"Waikuku"	999	6	690.00
586114	"Cust"	920	2	363.00
586115	"Mairaki"	912	2	227.00
586116	"Fernside"	916	2	907.00
586117	"Tuahiwi"	966	5	1061.00
586118	"Coldstream"	958	4	551.00
586120	"Woodend"	921	2	1563.00
586301	"Rangiora North"	963	5	4280.00
586302	"Rangiora West"	960	4	3605.00
586303	"Rangiora East"	1004	7	1521.00
586304	"Southbrook"	934	3	456.00
586401	"Kaiapoi North"	982	6	3509.00
586402	"Kaiapoi South"	953	4	3516.00
586501	"Clarkville"	906	1	749.00
586502	"Kaiapoi West"	965	5	1057.00
586601	"West Eyreton"	922	2	839.00
586602	"Eyreton"	880	1	1517.00
